id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39464636,Estupendo Apartamento Centro *Alameda de Hércules*,303137468,Fco Javier,Casco Antiguo,Feria,37.39962,-5.99265,Entire home/apt,100,2,106,2025-03-16,1.61,3,169,25,VFT/SE/04534
39476339,Espacio acogedor cerca del centro,303235864,Esperanza,Triana,"El Tardón, El Carmen",37.37467,-6.01112,Private room,22,1,374,2025-03-21,5.67,1,129,80,CTC-2019191599
39502055,Duplex Alameda de Hercules,14704588,Pepe,Casco Antiguo,San Lorenzo,37.39699935913086,-5.994630813598633,Entire home/apt,172,2,27,2024-09-05,0.41,1,259,3,CTC-2019179751
39502977,Estudio Independiente Centro de Sevilla,58291652,Ronald,Casco Antiguo,Santa Catalina,37.39128,-5.9854,Entire home/apt,87,2,294,2025-03-23,4.47,2,144,50,Exempt
39519330,"Ideal apartamento casco antiguo Sevilla, WiFi/AC",243308448,Fabio,Casco Antiguo,San Vicente,37.3961,-6.0009,Entire home/apt,60,4,105,2025-02-11,1.60,36,45,7,VUT/SE/01193
39523069,Alohamundi San Julian,118796113,Maria Eugenia,Casco Antiguo,San Julián,37.39848,-5.98409,Entire home/apt,84,2,157,2025-03-03,2.39,37,83,40,VFT/SE/00181
39545206,APTO. SEVILLA CENTRO,152677612,Maria,Casco Antiguo,Arenal,37.38715,-5.99795,Entire home/apt,109,2,49,2025-03-16,0.76,1,96,18,VFT/SE/06534
39547230,Holi-Rent Martín Villa,111692752,Holi- Rent,Casco Antiguo,"Encarnación, Regina",37.3936,-5.99519,Entire home/apt,,1,12,2024-10-28,0.19,18,255,1,CTC-2019163183
39563671,Hostly Sierpes -Campana 2 bd apartm-100 M-park opt,3173171,Joaquín Y Natalia,Casco Antiguo,"Encarnación, Regina",37.39401,-5.99472,Entire home/apt,129,2,224,2025-03-18,3.42,31,21,64,VFT/SE/07810
39578612,CENTRO SAN LORENZO MIGUEL CID VFTSE-3085,68217468,Maria,Casco Antiguo,San Lorenzo,37.3986,-5.99936,Entire home/apt,180,2,12,2022-11-20,0.18,1,12,0,VFT SE-3085
39592307,Apartamento en la calle Verde,13419145,Antonio Y Isabel,Casco Antiguo,San Bartolomé,37.38595,-5.98764,Entire home/apt,67,4,210,2025-03-12,3.25,3,109,51,VFT/SE/06630
39592640,Extravagant apartment for two in downtown,304116789,Kasapartments,Casco Antiguo,San Bartolomé,37.38983,-5.98558,Entire home/apt,77,1,163,2025-02-24,2.47,32,219,29,VUT/SE/06536
39624890,C. XIX studio in La Juderia.,9649853,Nacho,Casco Antiguo,San Bartolomé,37.38781,-5.98669,Entire home/apt,89,5,112,2025-03-15,1.84,18,105,36,VUT/SE/09173
39648588,Fabuloso apartamento junto al centro de la ciudad,121017540,Fernando,San Pablo - Santa Justa,San José Obrero,37.3967,-5.97462,Entire home/apt,67,2,116,2025-03-17,1.78,3,224,57,VFT/SE/04939
39663476,Sevilla’s Gem,14312156,Monica,Casco Antiguo,San Bartolomé,37.38833915235559,-5.985704138875008,Entire home/apt,189,3,43,2025-03-17,2.31,1,258,28,VFT/SE/11423
39672267,UNICO Alcázar Apartment,304903777,Unico,Casco Antiguo,Santa Cruz,37.38235,-5.99031,Entire home/apt,112,2,87,2025-03-02,1.32,3,163,10,CTC-2019148934
39672507,Apartamento ideal en la Alameda de Hércules centro,4380388,Carmen,Casco Antiguo,San Gil,37.4003,-5.99331,Entire home/apt,76,3,130,2025-03-24,2.04,1,68,39,VUT/SE/04553
39681161,Casa muy linda y preciosa en Sevilla 5,172708476,Rafaela,Este - Alcosa - Torreblanca,"Colores, Entreparques",37.38403,-5.90507,Private room,41,1,6,2024-09-29,0.17,4,362,3,aquí 20621
39689435,"Soleado piso, 6 balcones con  maravillosas vistas.",39710869,Garlea,Casco Antiguo,"Encarnación, Regina",37.393,-5.99349,Entire home/apt,255,2,355,2025-03-23,5.44,2,117,76,VFT/SE/06394
39691592,CLB F. Rubio,119408720,Álvaro,Casco Antiguo,San Bartolomé,37.38713,-5.98881,Entire home/apt,73,2,44,2024-05-27,0.67,5,161,2,CTC-2019194923
39725546,Tranquilo y Bonito Apartamento Triana,51928509,Cristina,Triana,Triana Oeste,37.38895,-6.00964,Entire home/apt,85,1,633,2025-03-25,9.65,5,310,108,VFT/SE/01840
39727693,ARCHITECTURE AWARDED LOFT ALAMEDA SEVILLE CENTER,82085550,Irene,Casco Antiguo,San Lorenzo,37.39732,-5.99548,Entire home/apt,154,2,63,2024-12-01,0.96,1,54,10,CTC-2019188344
39740506,Bonito y Cómodo apartamento Triana,51928509,Cristina,Triana,Triana Oeste,37.38992,-6.01024,Entire home/apt,71,1,518,2025-03-25,7.94,5,321,94,VFT/SE/01840
